node;pid;tid;core_id;sample_count;
penda-Latitude-7480;59628;59628;1;1060;
penda-Latitude-7480;59628;59628;2;2011;
penda-Latitude-7480;59628;59628;3;957;
penda-Latitude-7480;59628;59628;4;1110;
penda-Latitude-7480;59628;59641;1;1258;
penda-Latitude-7480;59628;59641;2;1024;
penda-Latitude-7480;59628;59641;3;1776;
penda-Latitude-7480;59628;59641;4;934;
penda-Latitude-7480;59628;59639;1;1211;
penda-Latitude-7480;59628;59639;2;1395;
penda-Latitude-7480;59628;59639;3;825;
penda-Latitude-7480;59628;59639;4;1590;
penda-Latitude-7480;59628;59640;1;1602;
penda-Latitude-7480;59628;59640;2;628;
penda-Latitude-7480;59628;59640;3;1384;
penda-Latitude-7480;59628;59640;4;1459;
